if,then,support,confidence,lift
"knee_r_exam_rom, sex_female",knee_r_exam_tenderness_knee,0.1201923076923077,0.8333333333333335,2.988505747126437
"knee_r_exam_creps_right, stool_satisfactory",knee_r_diag_oa_knee,0.14903846153846154,0.7749999999999999,2.9851851851851845
"knee_l_pain_stairclimbing, knee_l_reason_natural",knee_l_diag_oa_knee,0.12980769230769232,0.84375,2.9745762711864407
lumbar_morning_stiffness,lumbar_exam_tenderness,0.1201923076923077,0.7575757575757577,2.973127501429389
knee_l_reason_natural,knee_l_pain_walking,0.19230769230769232,0.7692307692307693,2.962962962962963
"knee_l_pain_stairclimbing, sex_female",knee_l_pain_walking,0.14423076923076922,0.7692307692307692,2.9629629629629624
"knee_r_pain_stairclimbing, knee_r_duration_val",knee_r_diag_oa_knee,0.14423076923076922,0.7692307692307692,2.9629629629629624
knee_l_pain_stairclimbing,knee_l_pain_walking,0.17307692307692307,0.7659574468085106,2.950354609929078
"knee_r_pain_stairclimbing, urine_normal",knee_r_diag_oa_knee,0.125,0.7647058823529411,2.9455337690631804
"lumbar_present, acidity",lumbar_exam_tenderness,0.12980769230769232,0.7500000000000001,2.943396226415095
"knee_l_exam_creps_left, knee_r_diag_oa_knee",knee_r_exam_creps_right,0.19230769230769232,0.9756097560975611,2.9409685401201844
"knee_l_morning_stiffness, knee_l_pain_walking",knee_l_diag_oa_knee,0.1201923076923077,0.8333333333333335,2.9378531073446332
"knee_r_exam_creps_right, knee_r_exam_rom",knee_r_exam_tenderness_knee,0.12980769230769232,0.8181818181818183,2.934169278996866
"knee_l_diag_oa_knee, stool_satisfactory",knee_l_pain_walking,0.1346153846153846,0.7567567567567567,2.9149149149149145
"knee_l_duration_val, knee_l_reason_natural",knee_l_diag_oa_knee,0.18269230769230768,0.8260869565217391,2.9123065585851142
"knee_l_pain_walking, knee_l_exam_creps_left",knee_l_diag_oa_knee,0.18269230769230768,0.8260869565217391,2.9123065585851142
"knee_r_exam_rom, knee_r_duration_val",knee_r_exam_tenderness_knee,0.14423076923076922,0.8108108108108107,2.9077353215284245
"knee_r_exam_rom_right_pain, knee_r_duration_val",knee_r_exam_creps_right,0.12980769230769232,0.9642857142857144,2.9068322981366466
"knee_r_pain_stairclimbing, knee_r_pain_walking",knee_r_exam_tenderness_knee,0.1201923076923077,0.8064516129032259,2.89210233592881
"knee_r_pain_stairclimbing, sex_female",knee_r_diag_oa_knee,0.12980769230769232,0.7500000000000001,2.8888888888888893
"tongue_sama, knee_l_pain_stairclimbing",knee_l_diag_oa_knee,0.14903846153846154,0.8157894736842105,2.8760035682426404
"knee_l_pain_walking, urine_normal",knee_l_diag_oa_knee,0.16826923076923078,0.8139534883720931,2.8695309420575486
"knee_l_pain_walking, appetite_normal",knee_l_diag_oa_knee,0.14423076923076922,0.8108108108108107,2.858451672010994
knee_r_exam_rom,knee_r_exam_tenderness_knee,0.14903846153846154,0.7948717948717948,2.850574712643678
knee_l_pain_standing,knee_l_diag_oa_knee,0.1201923076923077,0.8064516129032259,2.8430836522689997
