if_symptom,then_suggest,support,confidence,lift
"medication_ongoing, sex_female, knee_l_morning_stiffness, knee_l_duration_val","knee_r_duration_val, knee_r_morning_stiffness",0.11188811188811189,0.8421052631578948,5.235697940503433
"knee_l_exam_creps_left, knee_l_duration_val, knee_r_exam_tenderness_knee","knee_r_exam_creps_right, knee_l_exam_tenderness_knee, knee_r_duration_val",0.13986013986013987,0.9090909090909091,5.2
"knee_l_exam_creps_left, knee_l_duration_val, gas","knee_r_exam_creps_right, tongue_sama, knee_r_duration_val, knee_present",0.11888111888111888,0.9444444444444443,5.194444444444444
"tongue_sama, knee_r_morning_stiffness","knee_r_duration_val, knee_l_morning_stiffness",0.13986013986013987,0.8695652173913044,5.181159420289855
"knee_l_duration_val, knee_r_duration_val, knee_l_morning_stiffness","tongue_sama, knee_present, knee_r_morning_stiffness",0.13986013986013987,0.8333333333333334,5.181159420289855
"knee_l_exam_creps_left, knee_present, knee_l_exam_rom, knee_r_exam_rom","knee_r_exam_creps_right, knee_r_duration_val, sex_female",0.1048951048951049,0.8333333333333333,5.1811594202898545
"knee_r_exam_creps_right, knee_r_exam_tenderness_knee, knee_r_duration_val, sex_female","knee_l_exam_creps_left, knee_l_duration_val, knee_l_exam_tenderness_knee",0.11188811188811189,0.9411764705882353,5.1764705882352935
"knee_l_duration_val, knee_present, knee_r_exam_creps_right, knee_l_exam_creps_left, knee_r_duration_val, sex_female, knee_l_exam_rom",knee_r_exam_rom,0.1048951048951049,0.9375,5.15625
cervical_exam_tenderness,"cervical_present, tongue_sama",0.1258741258741259,0.9,5.148000000000001
"tongue_sama, knee_r_morning_stiffness","medication_ongoing, knee_r_duration_val, knee_l_morning_stiffness",0.13286713286713286,0.8260869565217391,5.136105860113422
"knee_l_duration_val, knee_r_exam_tenderness_knee, knee_present, tongue_sama, knee_l_exam_creps_left","knee_r_exam_creps_right, knee_l_exam_tenderness_knee, knee_r_duration_val",0.11888111888111888,0.8947368421052632,5.117894736842105
"knee_present, knee_r_exam_rom, knee_r_duration_val, sex_female, knee_l_exam_tenderness_knee","knee_l_duration_val, knee_l_exam_rom",0.1048951048951049,1.0,5.107142857142857
knee_l_morning_stiffness_duration,"medication_ongoing, knee_r_duration_val, knee_l_morning_stiffness",0.1258741258741259,0.8181818181818182,5.086956521739131
"knee_l_duration_val, knee_r_duration_val, sex_female, knee_l_morning_stiffness","medication_ongoing, knee_r_morning_stiffness",0.11188811188811189,0.8888888888888888,5.084444444444444
"knee_present, knee_r_morning_stiffness","knee_r_duration_val, knee_l_morning_stiffness",0.16083916083916083,0.8518518518518519,5.075617283950617
"knee_r_duration_val, knee_l_morning_stiffness",knee_r_morning_stiffness,0.16083916083916083,0.9583333333333333,5.075617283950617
"knee_l_duration_val, knee_r_duration_val, medication_ongoing, knee_l_morning_stiffness",knee_r_morning_stiffness,0.15384615384615385,0.9565217391304349,5.066022544283415
knee_r_morning_stiffness,"knee_l_duration_val, medication_ongoing, knee_l_morning_stiffness, knee_present, knee_r_duration_val",0.15384615384615385,0.8148148148148149,5.066022544283414
"medication_ongoing, knee_r_morning_stiffness_duration, knee_present","knee_r_duration_val, knee_l_morning_stiffness",0.11888111888111888,0.85,5.064583333333333
"knee_r_exam_creps_right, knee_r_duration_val, knee_l_exam_rom, knee_r_exam_rom","knee_l_exam_creps_left, knee_l_duration_val, sex_female, knee_present",0.1048951048951049,0.8823529411764706,5.047058823529412
"knee_r_exam_creps_right, knee_l_exam_creps_left, knee_l_diag_oa_knee","medication_ongoing, knee_r_diag_oa_knee, knee_present",0.11188811188811189,0.8421052631578948,5.017543859649123
"knee_l_duration_val, knee_r_diag_oa_knee",knee_l_diag_oa_knee,0.1258741258741259,0.9473684210526316,5.017543859649123
"knee_l_morning_stiffness_duration, knee_r_duration_val, knee_l_morning_stiffness",knee_r_morning_stiffness,0.11888111888111888,0.9444444444444443,5.0020576131687235
"medication_ongoing, knee_l_duration_val, knee_l_morning_stiffness, knee_r_duration_val, sex_female",knee_r_morning_stiffness,0.11188811188811189,0.9411764705882353,4.984749455337691
